,SN Name,SN Type,ExtraCare,SeMask2,Good,Mask,seMask,IFU RA,IFU DEC,SN RA,SN DEC,Separation,ArcName,SN Time,IFU Time,Redshift,Note
388,SN2005lw,II,,,,,,167.013312,-12.48572,167.013370833333,-12.4859388888889,0.814681806327252,ADP.2016-09-22T21:19:20.273,2005-12-14 00:00:00,2016-04-21T05:21:02.500,nan,
389,SN2005lu,Ia,0,2 5,3,1,1 2 4,39.016819,-17.26375,39.0154583333333,-17.2638888888889,4.70436573445611,ADP.2016-06-24T11:45:22.429,2005-12-11 00:00:00,2015-06-18T09:34:52.630,0.032724,
390,SN2005ku,Ia,0,2,0,1,1,344.92514,-0.013394,344.927541666667,-0.013688888888889,8.71093028223113,ADP.2016-06-17T18:47:32.872,2005-11-10 00:00:00,2015-05-30T07:57:36.186,0.04542,
391,SN2005ki,Ia,0,1,1,,,160.117281,9.198173,160.117579166667,9.20233055555556,15.0046595959056,ADP.2019-04-17T22:54:16.934,2005-11-18 00:00:00,2019-03-26T02:58:09.573,0.01946,
392,SN2005ke,Ia-pec,,,,,,53.773701,-24.942006,53.7681291666667,-24.9441111111111,19.7033979398853,ADP.2017-09-28T09:19:52.276,2005-11-13 00:00:00,2017-09-08T07:15:53.116,0.004884,
393,SN2005ir,Ia,,,0,1,1,19.182868,0.793894,19.1823291666667,0.794561111111111,3.08703476050437,ADP.2016-06-24T11:45:22.413,2005-10-28 00:00:00,2015-06-18T08:15:54.050,0.07633,
394,SN2005iq,Ia,1,1,1,,,359.634173,-18.711113,359.635420833333,-18.7091694444444,8.18892904976468,ADP.2018-09-13T01:03:07.237,2005-11-05 00:00:00,2018-07-25T08:48:32.253,0.034643,
395,SN2005hk,Ia-pec,,,,,,6.958143,-1.200066,6.96195833333333,-1.19791944444444,15.7571862350574,ADP.2016-08-11T11:23:24.107,2005-10-30 00:00:00,2015-10-17T04:35:39.113,nan,
396,SN2005hj,Ia,0,1,1,1,1,21.700133,-1.237564,21.7011208333333,-1.238,3.88642525950012,ADP.2016-07-11T15:19:32.575,2005-10-26 00:00:00,2015-07-23T07:42:58.000,0.05742,
397,SN2005hc,Ia,0,2,1,1,2,29.202226,-0.212228,29.19975,-0.213669444444444,10.3140178439037,ADP.2016-07-12T07:19:14.082,2005-10-12 00:00:00,2015-08-02T08:57:47.850,0.04589,
398,SN2005gn,IIn,,,,,,87.20462,-24.379122,87.2044583333333,-24.3793111111111,0.862844147627427,ADP.2016-10-07T08:50:28.195,2005-10-12 00:00:00,2016-08-20T08:58:05.246,nan,
399,SN2005gj,Ia-pec,,,,,,45.299911,-0.553647,45.2997916666667,-0.553861111111111,0.882423685850051,ADP.2016-07-12T07:19:14.074,2005-09-26 00:00:00,2015-08-02T07:59:06.396,nan,
400,SN2005dm,Ia-pec,,,,,,34.661817,-6.903303,34.6635416666667,-6.903,6.25956556140638,ADP.2019-08-31T04:08:59.471,2005-08-26 00:00:00,2019-08-11T09:09:34.206,nan,
401,SN2005cu,II,,,,,,287.856458,-50.640446,287.852129166667,-50.6413305555556,10.3832776677614,ADP.2018-08-02T18:48:39.520,2005-07-10 00:00:00,2017-06-18T03:56:32.113,nan,
402,SN2005bs,Ia,0,2 3 4 5,1,,,302.561478,-56.638979,302.558791666667,-56.6454388888889,23.8558216351322,ADP.2016-09-29T08:33:33.612,2005-04-19 00:00:00,2016-05-13T08:32:46.426,0.0552,
403,SN2005bg,Ia,0,1,0,1,1,184.321974,16.37173,184.321579166667,16.3715611111111,1.49315950465621,ADP.2016-06-17T18:47:32.927,2005-03-28 00:00:00,2015-05-29T23:26:37.860,0.02303,
404,SN2005be,Ia,5,1,1,,,224.887575,16.669927,224.886329166667,16.6698888888889,4.29870022633666,ADP.2016-06-17T18:47:32.864,2005-04-05 00:00:00,2015-05-30T00:29:56.886,0.03356,
405,SN2005al,Ia,0,2,2,1,2,207.503743,-30.577172,207.501370833333,-30.5761694444444,8.19042993394175,ADP.2018-05-18T04:03:44.301,2005-02-24 00:00:00,2018-05-10T03:50:21.676,0.012399,
406,SN2005ag,Ia,0,11,1,3,,224.179287,9.328555,224.181870833333,9.32846944444444,9.18395143684353,ADP.2016-06-17T18:25:05.248,2005-02-10 00:00:00,2015-05-29T01:52:14.596,0.07967,
407,SN2005Z,II,,,,,,161.288155,22.077528,161.28825,22.0773111111111,0.842667864228006,ADP.2016-10-06T16:52:10.893,2005-01-31 00:00:00,2016-05-26T01:33:27.406,nan,
408,SN2005M,Ia,1,5,1,,,144.387531,23.20339,144.384829166667,23.20075,13.047921118213,ADP.2016-06-24T10:28:35.797,2005-01-19 00:00:00,2015-06-04T23:33:59.696,0.022012,
409,SN2005H,II,,,,,,32.410824,-10.146051,32.4105,-10.1454388888889,2.4847789150673,ADP.2016-10-10T22:58:12.166,2005-01-15 00:00:00,2016-08-08T06:24:19.060,nan,
410,SN2004gt,Ib/c,,,,,,180.460818,-18.869614,180.459879166667,-18.8701888888889,3.80938747288373,ADP.2016-06-17T14:24:04.401,2004-12-12 00:00:00,2015-05-13T00:39:41.940,nan,
411,SN2004gs,Ia,0,3,1,,,129.599909,17.631153,129.596579166667,17.6277194444444,16.8317145447319,ADP.2016-06-17T18:35:00.703,2004-12-12 00:00:00,2015-05-30T23:21:03.213,0.0274,
412,SN2004gc,Ia,0,6,0,5,8,80.454335,6.679369,80.4581208333333,6.67603055555556,18.1019300396691,ADP.2019-03-08T05:11:20.934,2004-11-18 00:00:00,2019-02-24T01:57:33.526,0.030475,
413,SN2004ff,Ic,,,,,,74.696004,-21.569216,74.6924583333333,-21.57,12.2014515198175,ADP.2016-10-07T08:50:28.177,2004-10-30 00:00:00,2016-08-20T07:48:07.416,nan,
414,SN2004fd,Ia,,,,,,40.812393,32.425107,40.8135416666667,32.4237805555556,5.91491838562639,ADP.2016-10-18T11:47:54.799,2004-10-21 00:00:00,2016-08-22T08:52:55.550,0.017255,
415,SN2004ey,Ia,0,1,1,,,327.279282,0.447342,327.282541666667,0.444219444444444,16.2499776240918,ADP.2016-06-24T10:28:35.821,2004-10-14 00:00:00,2015-06-05T05:52:59.693,0.015824,
416,SN2004ef,Ia,0,1,2,3,1,340.545843,19.997112,340.54175,19.9945611111111,16.6149956776046,ADP.2016-06-24T10:28:35.837,2004-09-04 00:00:00,2015-06-05T08:09:56.696,0.03097,
417,SN2004do,Ia,1,1,0,6,1,283.898824,-53.723869,283.8905,-53.723,18.0044973840213,ADP.2016-08-02T05:17:36.565,2004-08-04 00:00:00,2015-10-07T01:01:05.140,0.008606,
418,SN2004dk,Ib,,,,,,245.453911,-2.271082,245.453879166667,-2.27146944444444,1.39949261269207,ADP.2016-12-02T09:39:19.061,2004-08-01 00:00:00,2016-05-19T08:48:19.866,nan,
419,SN2004dg,II,,,,,,225.001961,1.891185,224.995670833333,1.89043888888889,22.7911005099975,ADP.2016-09-08T02:00:17.312,2004-07-19 00:00:00,2016-04-07T06:59:37.666,nan,
420,SN2004cx,II,,,,,,356.966371,-30.521877,356.97025,-30.5257194444444,18.3316052982966,ADP.2017-06-14T09:12:09.334,2004-06-26 00:00:00,2016-06-05T08:59:39.410,nan,
421,SN2004cs,Ia,0,6 12,0,1,2 3,267.557944,14.28676,267.559920833333,14.2831888888889,14.5890112574555,ADP.2016-08-17T10:26:59.052,2004-06-23 00:00:00,2016-03-09T08:29:29.710,0.01406,
422,SN2004bv,Ia,,,5,21,,306.270572,-24.813988,306.276420833333,-24.8149194444444,19.4036860333628,ADP.2019-06-20T08:32:33.634,2004-05-24 00:00:00,2019-05-20T05:54:12.686,0.010649,
423,SN2004aw,Ic,,,,,,179.459453,25.265652,179.459329166667,25.2653111111111,1.29172503148703,ADP.2016-10-06T10:17:55.848,2004-03-19 00:00:00,2016-05-23T01:05:46.563,nan,
424,SN2003lw,Ic,,,,,,120.625405,-39.850642,120.625829166667,-39.8508305555555,1.35464519858464,ADP.2016-09-20T15:56:32.749,2003-12-03 00:00:00,2015-12-10T06:03:25.823,nan,
425,SN2003ic,Ia,1,1,2,12,1,10.460548,-9.303528,10.4592916666667,-9.30528055555556,7.72832487942647,ADP.2018-09-20T04:52:51.377,2003-09-16 00:00:00,2018-08-10T08:01:21.256,0.05536,
426,SN2003hg,II,,,,,,357.850638,20.11076,357.850541666667,20.1106388888889,0.544194437728045,ADP.2016-10-05T16:01:04.017,2003-08-18 00:00:00,2016-07-01T06:43:32.883,nan,
427,SN2003gh,Ia,1,3 4 5,2,1,1 2 3,116.325555,-71.409466,116.324708333333,-71.4103611111111,3.36571531440152,ADP.2017-12-20T14:19:23.117,2003-06-29 00:00:00,2017-12-02T04:15:12.286,0.017933,
428,SN2003em,Ia,4,1,5,1,1,32.335469,-23.414811,32.3342916666667,-23.4147194444444,3.90331806256512,ADP.2016-10-13T21:08:20.704,2003-05-27 00:00:00,2016-07-16T07:24:13.360,0.017401,
429,SN2003dt,Ia,,,5,9,,311.827478,0.312824,311.823170833333,0.311888888888889,15.8667998343123,ADP.2016-09-27T12:16:49.269,2003-04-21 00:00:00,2016-06-04T05:22:12.383,0.01401,
430,SN2003bn,II,,,,,,150.648067,-21.181631,150.647958333333,-21.1818111111111,0.743962262192118,ADP.2020-02-13T11:17:15.801,2003-02-27 00:00:00,2020-02-06T07:18:30.786,nan,
431,SN2003bl,II,,,,,,209.374473,6.094798,209.377708333333,6.09343888888889,12.5725038098857,ADP.2019-08-24T12:17:02.737,2003-03-02 00:00:00,2019-07-31T01:24:06.376,nan,
432,SN2003H,Ib/c,,,,,,94.107008,-21.373227,94.107,-21.3732805555556,0.194656403442737,ADP.2018-04-05T08:26:13.265,2003-01-08 00:00:00,2017-11-17T06:13:03.936,nan,
433,SN2003E,II,,,,,,69.795578,-24.179084,69.7953291666667,-24.1768111111111,8.22310864537634,ADP.2019-11-28T14:12:36.609,2003-01-05 00:00:00,2019-10-15T05:57:04.386,nan,
434,SN2003D,Ia-pec,,,,,,144.725499,-4.848392,144.723,-4.85141944444444,14.1117160697813,ADP.2018-01-23T14:32:55.736,2003-01-06 00:00:00,2018-01-17T04:40:35.656,nan,
435,SN2002jg,Ia,0,1 3 6,1,2,,334.867514,29.389651,334.87,29.3845805555556,19.8495028090166,ADP.2016-10-07T07:11:23.283,2002-11-23 00:00:00,2016-05-25T09:26:02.403,0.01616,
436,SN2002ig,II,,,,,,24.153122,0.924073,24.153,0.923780555555556,1.14071658386487,ADP.2019-11-28T13:05:53.667,2002-10-29 00:00:00,2019-10-08T05:31:18.610,nan,
437,SN2002hy,Ib,,,,,,163.667653,-21.067357,163.66325,-21.0614388888889,25.9365197795744,ADP.2016-09-06T14:24:08.248,2002-11-12 00:00:00,2015-12-01T06:43:28.196,nan,
438,SN2002ha,Ia,,,5,9,,311.827478,0.312824,311.827420833333,0.312669444444444,0.593239696960081,ADP.2016-09-27T12:16:49.269,2002-10-21 00:00:00,2016-06-04T05:22:12.383,0.01401,
439,SN2002fk,Ia,0,1,0,1,1 2 3 4,50.528267,-15.399367,50.5237916666667,-15.4008888888889,16.470664051572,ADP.2016-07-25T12:56:04.451,2002-09-17 00:00:00,2015-09-10T06:06:11.030,0.007138,
440,SN2002cx,Ia-pec,,,,,,198.455657,6.962204,198.457170833333,6.95886111111111,13.1943520454164,ADP.2016-08-01T13:06:16.069,2002-05-12 00:00:00,2016-01-20T06:37:48.426,nan,
